Record_ID,Transaction_Date,Fiscal_Year,Quarter,Region,Country,Business_Unit,Department,Product_Category,Revenue,Cost,Profit,Profit_Margin,Operating_Expense,Customer_Segment,Sales_Channel,Payment_Method,Invoice_Status,Employee_ID,Risk_Score,Forecast_Accuracy,Customer_Rating,ROI,Profit_Percentage,Year,Month
FP00001,2024-01-01,2024.0,Q3,North America,South Africa,Retail,IT,Subscriptions,23154.88,18705.73,4449.15,19.21,12622.15,Unknown,Online,Credit Card,Pending,E4811,49.74820035740566,70.8,1.8,35.45102872340426,19.214740046158735,2024,January
FP00002,2024-08-23,2024.0,Q3,North America,Germany,Government,Operations,Services,140563.67,88658.55,51905.12,36.93,22735.85,Corporate,Direct,Cash,Paid,E2519,38.61,80.77,2.38,15.04,36.92641206650338,2024,August
FP00003,2022-06-26,2022.0,Unknown,South America,Unknown,SMB,HR,Consulting,161618.53,129513.41,32105.12,19.86,27043.29,Small Business,Direct,Credit Card,Paid,E4733,77.53,99.56,4.42,35.45102872340426,19.864751894476456,2022,June
FP00004,2025-11-10,2025.0,Q4,Asia,Japan,Enterprise,HR,Services,21099.28,68295.88139759803,9433.79,32.403617877568315,25164.733792738436,Consumer,Direct,PayPal,Pending,Unknown,46.76,78.1,4.7,22.83,44.71143091138656,2025,November
FP00005,2024-01-01,2024.0,Unknown,Europe,USA,SMB,Marketing,Services,111833.0,86842.56,24990.44,22.35,42221.17,Consumer,Direct,PayPal,Unknown,E4483,65.89,81.87,4.66,59.84,22.346212656371552,2024,January
FP00006,2023-07-29,2023.0,Unknown,Oceania,France,Government,IT,Subscriptions,29431.45,14032.82,15398.63,52.32,37376.95,Small Business,Direct,Bank Transfer,Cancelled,E2489,75.82,95.83,3.0126560354842122,38.51,52.32032400714202,2023,July
FP00007,2024-01-01,2021.0,Q4,South America,South Africa,SMB,IT,Software,158623.79,100280.05,58343.74,36.78,3644.62,Consumer,Partner,Cash,Paid,E5808,44.04,83.61,4.82,24.35,36.78120413085578,2024,January
FP00008,2024-01-01,2025.0,Q4,North America,India,Enterprise,Sales,Services,144216.45,134775.82,9440.63,32.403617877568315,38217.13,Corporate,Online,PayPal,Overdue,E9005,2.93,97.87,4.51,35.45102872340426,6.546153368773118,2024,January
FP00009,2025-08-31,2025.0,Unknown,North America,Canada,Government,Finance,Consulting,161548.19,85894.97,75653.22,46.83,25164.733792738436,Corporate,Direct,UPI,Unknown,E5342,53.24,88.2,3.0126560354842122,41.06,46.8301254257321,2025,August
FP00010,2026-03-18,2026.0,Unknown,Oceania,Japan,Government,IT,Subscriptions,108319.92,86814.31,21505.61,19.85,10456.98,Consumer,Direct,Bank Transfer,Paid,E6539,3.08,86.62,3.35,18.05,19.853790512400675,2026,March
FP00011,2021-01-15,2021.0,Q1,Asia,Canada,Enterprise,Operations,Subscriptions,15127.62,11301.95,3825.67,32.403617877568315,11832.62,Corporate,Direct,PayPal,Unknown,E4981,78.68,94.22,1.76,71.49,25.289305257535556,2021,January
FP00012,2021-07-18,2021.0,Q3,Unknown,Canada,Retail,Marketing,Unknown,132137.57,78603.84,53533.73,32.403617877568315,20849.56,Consumer,Direct,Bank Transfer,Pending,E9786,45.41,82.66,2.11,67.75,40.513632875192116,2021,July
FP00013,2022-05-27,2022.0,Q2,North America,USA,Retail,Finance,Hardware,175022.7,77265.82,97756.88,55.85,40497.1,Corporate,Distributor,UPI,Unknown,E4502,86.6,97.07,1.66,35.45102872340426,55.85382924614921,2022,May
FP00014,2021-01-05,2023.2522311942203,Q1,South America,South Africa,Government,Sales,Hardware,197076.46,107576.49,89499.97,45.41,39311.49,Small Business,Direct,Credit Card,Paid,E6138,6.66,87.53,3.01,35.45102872340426,45.41383075380997,2021,January
FP00015,2025-10-13,2025.0,Q4,North America,France,Retail,HR,Hardware,106694.1,46015.43,60678.67,56.87,25164.733792738436,Government,Online,Unknown,Pending,E1651,62.32,82.58,3.33,66.62,56.871626453571466,2025,October
FP00016,2023-12-07,2023.0,Q4,Asia,Brazil,Enterprise,HR,Services,63957.6,34755.91,29201.69,45.66,33651.44,Government,Partner,Credit Card,Paid,E8508,62.49,86.89,1.4,35.45102872340426,45.6578889764469,2023,December
FP00017,2024-01-07,2024.0,Unknown,Europe,Japan,SMB,Sales,Subscriptions,43417.71,23700.0,19717.71,32.403617877568315,46696.34,Small Business,Online,Unknown,Overdue,E2697,93.95,74.03,1.46,69.28,45.41397968709082,2024,January
